repo_full,detector_variant,metric,window_weeks,window_role,threshold,threshold_role,persistence_weeks,persistence_role,affected_metrics,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,scenario_count,mean_precision,precision_valid_observations,mean_recall,recall_valid_observations,mean_false_alarm_rate,false_alarm_rate_valid_observations,mean_episode_detection_rate,episode_detection_rate_valid_observations,mean_detection_delay_weeks,detection_delay_weeks_valid_observations,mean_boundary_overlap,boundary_overlap_valid_observations,mean_alarm_duration_weeks,alarm_duration_weeks_valid_observations,mean_unevaluable_fraction,unevaluable_fraction_valid_observations
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,medium,"{""latency_log"": 0.25}",4,observed,none,100,0.0,100,0.0,100,0.0526315789473684,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,medium,"{""latency_log"": 0.25}",8,low_volume,none,100,0.05,100,0.0125,100,0.0666666666666666,100,0.1,100,3.2,10,0.011111111111111098,100,1.1,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,medium,"{""latency_log"": 0.25}",8,observed,controlled,100,0.0,100,0.0,100,0.0666666666666666,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,medium,"{""latency_log"": 0.25}",8,observed,none,100,0.0,100,0.0,100,0.0666666666666666,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,high,"{""failure_rate"": 0.2, ""latency_log"": 0.5}",1,observed,none,100,0.38,100,0.76,100,0.04545454545454539,100,0.76,100,0.0,76,0.38,100,1.76,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,high,"{""failure_rate"": 0.2, ""latency_log"": 0.5}",2,observed,none,100,0.5699999999999995,100,0.78,100,0.04761904761904749,100,0.93,100,0.1720430107526881,93,0.5199999999999997,100,2.56,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,high,"{""failure_rate"": 0.2, ""latency_log"": 0.5}",4,observed,none,100,0.687333333333333,100,0.6725,100,0.0526315789473684,100,0.96,100,0.3645833333333333,96,0.5380000000000001,100,3.69,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,high,"{""failure_rate"": 0.2, ""latency_log"": 0.5}",8,observed,none,100,0.6833333333333327,100,0.33625,100,0.0666666666666666,100,0.96,100,0.8333333333333334,96,0.2988888888888883,100,3.69,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,low,"{""failure_rate"": 0.05, ""latency_log"": 0.1}",1,observed,none,100,0.035,100,0.07,100,0.04545454545454539,100,0.07,100,0.0,7,0.035,100,1.07,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log+failure_rate,low,"{""failure_rate"": 0.05, ""latency_log"": 0.1}",2,observed,none,100,0.065,100,0.065,100,0.04761904761904749,100,0.13,100,0.6153846153846154,13,0.04333333333333331,100,1.13,100,0.3611111111111112,100
