repo_full,week,attempts_total,outcome_n,failure_count,failure_rate,latency_n,feedback_latency_median_min,feedback_latency_p90_min,queue_latency_median_min,execution_span_median_min,logical_run_n,rerun_count,rerun_rate,additional_attempt_count,failed_then_passed_count,failed_then_passed_rate_among_reruns,merged_pr_count,pr_cycle_hours_median,qualified_review_latency_hours_median,reviewed_pr_n,churn_median,changed_files_median,commits_median,created_pr_count,workflow_count,workflow_concentration_hhi,release_count,split,external_calibration,external_evaluation_eligible,workflow_adjusted_latency_log,latency_log_raw,latency_log,low_outcome_support,low_latency_support,missing_core_metric_count
pytest-dev/pytest,2026-03-02,42,27,1,0.037037037037037,27,16.333333333333332,30.43,0.2166666666666666,16.283333333333335,42,0,0.0,0,0,,12,13.295277777777777,4.7683333333333335,12,8.0,1.0,1.0,22,1.0,1.0,,external,False,True,0.1324330948754597,2.852631429913317,0.1324330948754597,False,False,0
pytest-dev/pytest,2026-03-09,72,39,6,0.1538461538461538,39,15.833333333333334,18.780000000000005,0.05,15.516666666666667,72,0,0.0,0,0,,9,10.486944444444443,6.434444444444445,9,4.0,1.0,1.0,14,2.0,0.9726080246913582,,external,False,True,0.1041523217605129,2.8233610476132047,0.1041523217605129,False,False,0
pytest-dev/pytest,2026-03-16,55,36,1,0.0277777777777777,36,15.791666666666668,21.5,0.05,15.633333333333333,55,0,0.0,0,0,,14,18.367361111111112,16.37097222222222,14,20.0,2.0,1.0,15,1.0,1.0,,external,False,True,0.1006843965608794,2.8208827315987373,0.1006843965608794,False,False,0
pytest-dev/pytest,2026-03-23,39,27,7,0.2592592592592592,27,14.583333333333334,16.356666666666666,0.05,14.2,39,0,0.0,0,0,,2,5.569027777777778,5.565416666666667,2,163.0,1.5,1.0,11,1.0,1.0,,external,False,True,0.0260036320287286,2.7462019670665865,0.0260036320287286,False,False,0
pytest-dev/pytest,2026-03-30,40,20,3,0.15,20,14.533333333333331,16.948333333333334,0.4083333333333333,14.225,40,0,0.0,0,0,,7,7.113611111111111,5.114166666666667,7,8.0,1.0,1.0,10,1.0,1.0,,external,False,True,0.0227899174256327,2.7429882524634905,0.0227899174256327,False,False,0
pytest-dev/pytest,2026-04-06,67,49,0,0.0,49,14.783333333333331,18.046666666666667,0.0666666666666666,14.75,67,0,0.0,0,0,,20,18.067083333333336,5.736944444444444,17,49.0,3.0,1.0,25,1.0,1.0,,external,False,True,0.0387561959261195,2.7589545309639774,0.0387561959261195,False,False,0
pytest-dev/pytest,2026-04-13,14,12,2,0.1666666666666666,12,14.15,15.873333333333331,0.05,13.991666666666667,13,1,0.0769230769230769,1,1,1.0,3,180.6208333333333,0.0844444444444444,3,25.0,4.0,6.0,7,1.0,1.0,,external,False,True,-0.0021978030824794,2.7180005319553784,-0.0021978030824794,False,False,0
pytest-dev/pytest,2026-04-20,37,28,2,0.0714285714285714,28,15.091666666666669,29.581666666666667,0.05,14.741666666666667,36,1,0.0277777777777777,1,0,0.0,14,13.879444444444443,5.469305555555556,12,12.0,1.0,1.0,21,1.0,1.0,,external,False,True,0.0581032046086109,2.7783015396464688,0.0581032046086109,False,False,0
pytest-dev/pytest,2026-04-27,39,23,1,0.0434782608695652,23,14.85,18.756666666666668,0.1333333333333333,14.533333333333331,39,0,0.0,0,0,,10,57.00333333333333,12.649444444444445,9,17.5,2.0,1.5,11,1.0,1.0,,external,False,True,0.0429711652854316,2.763169500323289,0.0429711652854316,False,False,0
pytest-dev/pytest,2026-05-04,44,33,3,0.0909090909090909,33,14.45,16.17666666666667,0.1666666666666666,14.133333333333333,43,1,0.0232558139534883,1,1,1.0,7,63.201388888888886,20.35,7,47.0,4.0,2.0,16,1.0,1.0,,external,False,True,0.0174106683058967,2.7376090033437546,0.0174106683058967,False,False,0
pytest-dev/pytest,2026-05-11,55,37,4,0.1081081081081081,37,15.466666666666669,17.99,0.1333333333333333,14.95,55,0,0.0,0,0,,10,11.840833333333332,8.195833333333333,10,19.0,2.5,1.0,20,1.0,1.0,,external,False,True,0.0811398004879095,2.8013381355257674,0.0811398004879095,False,False,0
pytest-dev/pytest,2026-05-18,106,86,16,0.1860465116279069,86,14.716666666666669,20.383333333333333,0.05,14.75,103,3,0.029126213592233,3,2,0.6666666666666666,24,184.97152777777777,8.368611111111111,24,24.5,2.0,2.0,17,1.0,1.0,,external,False,True,0.0345233853734989,2.7547217204113568,0.0345233853734989,False,False,0
pytest-dev/pytest,2026-05-25,92,71,14,0.1971830985915492,71,13.6,17.95,0.05,13.45,85,3,0.0352941176470588,7,3,1.0,16,7.795694444444445,1.3733333333333333,16,16.5,3.0,1.0,19,2.0,0.8594045368620038,,external,False,True,-0.0272617717456959,2.681021528714291,-0.0272617717456959,False,False,0
pytest-dev/pytest,2026-06-01,105,70,20,0.2857142857142857,70,14.45,18.613333333333333,0.0666666666666666,14.316666666666666,105,0,0.0,0,0,,14,19.833472222222223,12.544166666666666,14,10.0,1.5,1.0,30,1.0,1.0,,external,False,True,0.0174106683058967,2.7376090033437546,0.0174106683058967,False,False,0
pytest-dev/pytest,2026-06-08,75,52,3,0.0576923076923076,52,15.308333333333334,21.32333333333333,0.05,14.983333333333334,74,1,0.0135135135135135,1,0,0.0,13,22.505,10.280833333333334,12,85.0,2.0,1.0,18,1.0,1.0,,external,False,True,0.0714778895761725,2.7916762246140303,0.0714778895761725,False,False,0
pytest-dev/pytest,2026-06-15,60,40,0,0.0,40,16.2,27.416666666666668,0.15,15.866666666666667,57,3,0.0526315789473684,3,0,0.0,21,3.0994444444444444,1.4772222222222222,18,41.0,3.0,1.0,26,1.0,1.0,,external,False,True,0.1247110487815494,2.8449093838194077,0.1247110487815494,False,False,0
pytest-dev/pytest,2026-06-22,55,38,0,0.0,38,14.308333333333334,19.17,0.0666666666666666,14.108333333333334,54,1,0.0185185185185185,1,0,0.0,12,27.775694444444444,20.50138888888889,12,68.5,1.0,2.0,16,1.0,1.0,,external,False,True,0.008199007395222,2.72839734243308,0.008199007395222,False,False,0
pytest-dev/pytest,2026-06-29,36,22,0,0.0,22,14.941666666666666,20.843333333333334,0.175,14.641666666666667,35,1,0.0285714285714285,1,0,0.0,5,0.72,0.7180555555555556,5,16.0,1.0,1.0,16,1.0,1.0,,external,False,True,0.0487378916203491,2.768936226658207,0.0487378916203491,False,False,0
pytest-dev/pytest,2026-07-06,29,23,12,0.5217391304347826,23,15.033333333333331,20.543333333333333,0.05,15.133333333333333,27,2,0.074074074074074,2,0,0.0,5,26.128611111111116,0.0666666666666666,3,8.0,3.0,1.0,16,1.0,1.0,,external,False,True,0.0544715534057478,2.7746698884436056,0.0544715534057478,False,False,0
pytest-dev/pytest,2026-07-13,61,41,8,0.1951219512195122,41,14.833333333333334,27.566666666666663,0.05,14.8,59,2,0.0338983050847457,2,0,0.0,3,9.287222222222224,9.246944444444445,3,4.0,2.0,1.0,23,1.0,1.0,,external,False,True,0.041919087334628,2.762117422372486,0.041919087334628,False,False,0
pytest-dev/pytest,2026-07-20,193,134,19,0.1417910447761194,134,18.616666666666667,44.11500000000001,0.0666666666666666,18.475,189,4,0.0211640211640211,4,3,0.75,31,40.88166666666667,10.110277777777778,31,48.0,3.0,2.0,44,1.0,1.0,,external,False,True,0.2561812100003182,2.976379545038176,0.2561812100003182,False,False,0
pytest-dev/pytest,2026-07-27,112,85,14,0.1647058823529411,85,18.08333333333333,49.21333333333334,0.1166666666666666,18.05,110,2,0.0181818181818181,2,0,0.0,16,73.61833333333334,5.464444444444444,16,68.5,1.0,1.5,40,1.0,1.0,,external,False,True,0.2286170187283813,2.948815353766239,0.2286170187283813,False,False,0
pytest-dev/pytest,2026-08-03,31,28,4,0.1428571428571428,28,18.691666666666663,23.688333333333336,0.05,18.65833333333333,29,2,0.0689655172413793,2,0,0.0,11,91.26944444444445,9.494444444444444,11,21.0,2.0,1.0,8,1.0,1.0,,external,False,True,0.259997199367004,2.980195534404862,0.259997199367004,False,False,0
