detector_family,detector_variant,scenario_type,affected_metrics,dimensionality,magnitude_level,duration_weeks,volume_condition,missingness_condition,metric,repositories_observed,cross_repository_mean,cross_repository_minimum,cross_repository_maximum,cross_repository_range,cross_repository_sd,interpretation
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,low_volume,none,incremental_spillover_weeks_mean,3,0.016666666666666666,0.01,0.03,0.019999999999999997,0.011547005383792514,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,low_volume,none,pair_unevaluable_fraction_mean,3,0.021739130434782605,0.021739130434782605,0.021739130434782605,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,observed,controlled,strict_incremental_episode_detected_proportion,3,0.006666666666666667,0.0,0.02,0.02,0.011547005383792516,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,observed,controlled,strict_incremental_detection_delay_weeks_mean,1,0.0,0.0,0.0,0.0,,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,observed,controlled,reference_alarm_burden_mean,3,0.01367327183293593,0.0,0.021244614860491638,0.021244614860491638,0.011864171547230015,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,observed,controlled,incremental_spillover_weeks_mean,3,0.0,0.0,0.0,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,observed,controlled,pair_unevaluable_fraction_mean,3,0.2953623188405796,0.29,0.30326086956521736,0.013260869565217381,0.0069847705426672076,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,observed,none,strict_incremental_episode_detected_proportion,3,0.18666666666666668,0.01,0.41,0.39999999999999997,0.20404247923737187,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,observed,none,strict_incremental_detection_delay_weeks_mean,3,0.9355400696864112,0.8780487804878049,1.0,0.12195121951219512,0.0612735379619128,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,observed,none,reference_alarm_burden_mean,3,0.014814814814814796,0.0,0.022222222222222195,0.022222222222222195,0.012830005981991669,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,observed,none,incremental_spillover_weeks_mean,3,0.03,0.0,0.05,0.05,0.026457513110645908,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,observed,none,pair_unevaluable_fraction_mean,3,0.021739130434782605,0.021739130434782605,0.021739130434782605,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,low_volume,none,strict_incremental_episode_detected_proportion,3,0.36000000000000004,0.2,0.5,0.3,0.150996688705415,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,low_volume,none,strict_incremental_detection_delay_weeks_mean,3,1.4494736842105265,1.18,1.8,0.6200000000000001,0.31784767863617386,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,low_volume,none,reference_alarm_burden_mean,3,0.014814814814814796,0.0,0.022222222222222195,0.022222222222222195,0.012830005981991669,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,low_volume,none,incremental_spillover_weeks_mean,3,0.01,0.0,0.02,0.02,0.01,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,low_volume,none,pair_unevaluable_fraction_mean,3,0.021739130434782605,0.021739130434782605,0.021739130434782605,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,observed,controlled,strict_incremental_episode_detected_proportion,3,0.09666666666666668,0.0,0.19,0.19,0.0950438495292217,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,observed,controlled,strict_incremental_detection_delay_weeks_mean,2,0.8447368421052632,0.7894736842105263,0.9,0.1105263157894737,0.07815390739430263,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,observed,controlled,reference_alarm_burden_mean,3,0.013598891250768996,0.0,0.020767665498367126,0.020767665498367126,0.011782774973191475,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,observed,controlled,incremental_spillover_weeks_mean,3,0.0,0.0,0.0,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,observed,controlled,pair_unevaluable_fraction_mean,3,0.2989130434782608,0.2889130434782608,0.30826086956521737,0.019347826086956565,0.00969038656000988,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,observed,none,strict_incremental_episode_detected_proportion,3,0.26666666666666666,0.0,0.51,0.51,0.2557994005726623,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,observed,none,strict_incremental_detection_delay_weeks_mean,2,1.2630155510480052,1.2156862745098038,1.3103448275862069,0.09465855307640303,0.06693370477763132,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,observed,none,reference_alarm_burden_mean,3,0.014814814814814796,0.0,0.022222222222222195,0.022222222222222195,0.012830005981991669,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,observed,none,incremental_spillover_weeks_mean,3,0.01,0.0,0.03,0.03,0.017320508075688773,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,observed,none,pair_unevaluable_fraction_mean,3,0.021739130434782605,0.021739130434782605,0.021739130434782605,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,low_volume,none,strict_incremental_episode_detected_proportion,3,0.43333333333333335,0.17,0.68,0.51,0.25540817005987365,descriptive stability across three repositories; not population-level transportability
